action = 0;action = 60;action = 120;action = 180;action = 240;action = 300
0.0084;0.1864;0.2072;0.2588;0.1992;0.14
0.012;0.184;0.2048;0.256;0.2016;0.1416
0.0088;0.186;0.2088;0.2576;0.1964;0.1424
0.0092;0.186;0.2064;0.2592;0.1992;0.14
0.0088;0.1836;0.2096;0.2576;0.1992;0.1412
0.0128;0.1864;0.206;0.2568;0.1968;0.1412
0.0104;0.1844;0.2072;0.2608;0.1984;0.1388
0.0136;0.1824;0.2096;0.2596;0.1948;0.14
0.012;0.1828;0.2084;0.2588;0.1956;0.1424
0.0116;0.182;0.208;0.26;0.198;0.1404
0.01;0.1844;0.2096;0.2572;0.196;0.1428
0.0068;0.182;0.2092;0.2616;0.1996;0.1408
0.0116;0.1848;0.2052;0.2624;0.196;0.14
0.0096;0.182;0.2072;0.2644;0.1976;0.1392
0.0068;0.182;0.2096;0.2624;0.1976;0.1416
0.0084;0.18;0.2024;0.2644;0.2;0.1448
0.0076;0.1808;0.2096;0.2632;0.1972;0.1416
0.008;0.1828;0.2048;0.2636;0.2004;0.1404
0.0096;0.1792;0.2068;0.2636;0.2004;0.1404
0.0092;0.1804;0.2048;0.2672;0.1976;0.1408
0.0112;0.1764;0.2068;0.2612;0.2016;0.1428
0.0112;0.1784;0.2088;0.2628;0.196;0.1428
0.0112;0.178;0.2068;0.264;0.198;0.142
0.0096;0.1808;0.2076;0.2656;0.1976;0.1388
0.008;0.1784;0.2084;0.2656;0.1992;0.1404
0.01;0.1816;0.204;0.266;0.198;0.1404
0.012;0.1764;0.2056;0.2652;0.1996;0.1412
0.0116;0.1748;0.2092;0.2656;0.198;0.1408
0.008;0.182;0.2076;0.2624;0.1988;0.1412
0.0112;0.1772;0.2064;0.2636;0.2012;0.1404
0.0096;0.178;0.2076;0.2632;0.2;0.1416
0.0092;0.1768;0.212;0.2644;0.1976;0.14
0.0104;0.1772;0.2076;0.264;0.204;0.1368
0.01;0.1792;0.2096;0.2644;0.1992;0.1376
0.006;0.1812;0.2112;0.2632;0.1992;0.1392
0.0116;0.1748;0.2132;0.2612;0.2004;0.1388
0.0092;0.18;0.21;0.2616;0.2016;0.1376
0.0108;0.1788;0.2116;0.2588;0.1996;0.1404
0.0108;0.1764;0.214;0.2636;0.1996;0.1356
0.0104;0.1752;0.2088;0.262;0.2028;0.1408
0.014;0.1796;0.21;0.2592;0.1996;0.1376
0.0088;0.1764;0.2124;0.2628;0.1992;0.1404
0.008;0.1788;0.2084;0.2648;0.2032;0.1368
0.0068;0.1784;0.2112;0.2644;0.2004;0.1388
0.0108;0.18;0.2112;0.2644;0.1968;0.1368
0.0088;0.1732;0.2116;0.27;0.196;0.1404
0.0084;0.1744;0.212;0.264;0.204;0.1372
0.0092;0.1736;0.2084;0.2668;0.2016;0.1404
0.0144;0.1748;0.2096;0.2664;0.2012;0.1336
0.008;0.176;0.2144;0.264;0.2012;0.1364
0.0112;0.1756;0.2104;0.264;0.2004;0.1384
0.0076;0.1744;0.2124;0.2688;0.2016;0.1352
0.0104;0.1768;0.2128;0.2648;0.2008;0.1344
0.0092;0.1744;0.2124;0.2652;0.2028;0.136
0.0136;0.1724;0.2136;0.2636;0.2012;0.1356
0.0132;0.1728;0.212;0.2624;0.2008;0.1388
0.01;0.172;0.214;0.268;0.2044;0.1316
0.012;0.172;0.2136;0.264;0.2032;0.1352
