action = 0;action = 60;action = 120;action = 180;action = 240;action = 300
0.0136;0.1332;0.2304;0.338;0.1716;0.1132
0.014;0.132;0.2364;0.3352;0.1712;0.1112
0.0148;0.136;0.2336;0.3328;0.1728;0.11
0.0164;0.1368;0.2316;0.3336;0.1744;0.1072
0.0124;0.1348;0.2332;0.3388;0.1728;0.108
0.0184;0.1348;0.234;0.3332;0.1712;0.1084
0.0212;0.132;0.2328;0.334;0.1668;0.1132
0.0152;0.134;0.234;0.332;0.1736;0.1112
0.0164;0.1372;0.2336;0.3372;0.1676;0.108
0.0168;0.1328;0.2308;0.3372;0.1736;0.1088
0.0156;0.1316;0.236;0.3404;0.1712;0.1052
0.0144;0.1384;0.2372;0.3324;0.1696;0.108
0.0176;0.134;0.2348;0.3304;0.1752;0.108
0.0168;0.1348;0.2324;0.3372;0.1732;0.1056
0.016;0.1404;0.232;0.3336;0.174;0.104
0.0152;0.1376;0.2296;0.3356;0.1768;0.1052
0.0152;0.1336;0.2352;0.3336;0.1736;0.1088
0.0152;0.1396;0.2352;0.3304;0.1772;0.1024
0.0152;0.1344;0.2352;0.3332;0.1744;0.1076
0.0164;0.1356;0.2344;0.3304;0.1744;0.1088
0.0136;0.1344;0.2344;0.3352;0.1756;0.1068
0.0172;0.1316;0.2348;0.334;0.1748;0.1076
0.016;0.1356;0.236;0.3304;0.1748;0.1072
0.0176;0.1324;0.2312;0.3276;0.1808;0.1104
0.0156;0.1348;0.2336;0.332;0.1768;0.1072
0.016;0.132;0.2344;0.3336;0.1756;0.1084
0.0152;0.1356;0.24;0.3324;0.1732;0.1036
0.012;0.1316;0.2416;0.3348;0.1748;0.1052
0.0092;0.1372;0.2356;0.3328;0.1788;0.1064
0.012;0.1376;0.2356;0.3332;0.176;0.1056
0.0196;0.1296;0.2392;0.3336;0.1748;0.1032
0.0144;0.1356;0.2332;0.3408;0.1756;0.1004
0.0148;0.134;0.2344;0.3352;0.1756;0.106
0.0172;0.1344;0.2376;0.3356;0.1776;0.0976
0.0136;0.1344;0.238;0.34;0.172;0.102
0.0128;0.1352;0.2336;0.3388;0.176;0.1036
0.0116;0.1288;0.2396;0.3352;0.18;0.1048
0.0148;0.132;0.2372;0.338;0.1776;0.1004
0.0156;0.1348;0.2348;0.3372;0.178;0.0996
0.0148;0.1384;0.2332;0.336;0.1784;0.0992
0.018;0.1328;0.2348;0.3372;0.1768;0.1004
0.0124;0.1372;0.2344;0.3372;0.1748;0.104
0.0172;0.1336;0.2344;0.3364;0.1784;0.1
0.0152;0.1336;0.2324;0.3424;0.1724;0.104
0.014;0.1332;0.2328;0.3428;0.1768;0.1004
0.0184;0.136;0.2352;0.3352;0.1732;0.102
0.02;0.1328;0.234;0.3356;0.1764;0.1012
0.0124;0.1352;0.236;0.3372;0.1752;0.104
0.0116;0.136;0.2328;0.344;0.176;0.0996
0.0152;0.1364;0.2336;0.3408;0.1716;0.1024
0.0112;0.1344;0.2372;0.344;0.1724;0.1008
0.0116;0.1324;0.2384;0.3368;0.178;0.1028
0.0168;0.1328;0.2384;0.3392;0.1736;0.0992
0.0136;0.1284;0.2356;0.3456;0.176;0.1008
0.014;0.13;0.2376;0.342;0.1752;0.1012
0.0128;0.13;0.2428;0.3404;0.1736;0.1004
0.0168;0.1336;0.2376;0.338;0.1752;0.0988
0.0148;0.132;0.234;0.3416;0.1756;0.102
0.0152;0.136;0.2368;0.3412;0.172;0.0988
0.0188;0.1276;0.2372;0.3436;0.1712;0.1016
0.0144;0.1292;0.2388;0.3372;0.1748;0.1056
0.0112;0.1304;0.2412;0.3384;0.1784;0.1004
0.0164;0.1328;0.2404;0.3372;0.1756;0.0976
0.018;0.1308;0.234;0.3428;0.1752;0.0992
0.0148;0.1308;0.234;0.3444;0.1768;0.0992
0.0152;0.1336;0.2388;0.3408;0.1736;0.098
0.0164;0.1324;0.2372;0.34;0.1728;0.1012
0.0136;0.1324;0.2376;0.3456;0.1708;0.1
0.0164;0.1312;0.2348;0.344;0.1724;0.1012
0.0212;0.1312;0.2368;0.3376;0.176;0.0972
0.0164;0.132;0.238;0.3404;0.1784;0.0948
0.0144;0.1348;0.2368;0.3372;0.1752;0.1016
0.014;0.1328;0.2352;0.3472;0.1752;0.0956
0.014;0.1324;0.2308;0.3452;0.18;0.0976
0.018;0.136;0.2368;0.342;0.1716;0.0956
0.0136;0.132;0.2336;0.3424;0.1752;0.1032
0.0136;0.1292;0.2364;0.3432;0.1756;0.102
0.0124;0.1312;0.2348;0.3432;0.1788;0.0996
0.014;0.132;0.2376;0.3412;0.1804;0.0948
0.016;0.132;0.2316;0.3488;0.1752;0.0964
0.0108;0.1336;0.2368;0.344;0.18;0.0948
0.0164;0.1276;0.2368;0.3392;0.176;0.104
0.0168;0.132;0.2376;0.34;0.1776;0.096
0.0136;0.1332;0.2344;0.344;0.1756;0.0992
0.0236;0.1312;0.2308;0.3392;0.174;0.1012
0.0196;0.1292;0.2296;0.346;0.1776;0.098
0.016;0.1312;0.234;0.3452;0.176;0.0976
0.0148;0.1328;0.2316;0.35;0.1744;0.0964
0.0144;0.134;0.2324;0.3428;0.1808;0.0956
0.012;0.1276;0.2376;0.3488;0.1768;0.0972
0.0164;0.1308;0.2352;0.3452;0.176;0.0964
0.0144;0.1332;0.2324;0.3496;0.174;0.0964
0.0148;0.1372;0.2348;0.3452;0.1724;0.0956
0.0124;0.132;0.234;0.3472;0.1768;0.0976
0.0128;0.1292;0.2308;0.3488;0.1812;0.0972
0.0124;0.1288;0.2376;0.3492;0.176;0.096
0.0156;0.1292;0.2348;0.3496;0.1796;0.0912
0.012;0.13;0.2344;0.3504;0.1772;0.096
0.02;0.1292;0.2332;0.35;0.1744;0.0932
0.0108;0.1308;0.2352;0.35;0.1784;0.0948
0.0132;0.1288;0.2376;0.348;0.1768;0.0956
0.0112;0.1324;0.232;0.3476;0.18;0.0968
0.0148;0.1328;0.2344;0.3448;0.1792;0.094
0.0136;0.1316;0.2344;0.3472;0.1772;0.096
