action = 0;action = 60;action = 120;action = 180;action = 240;action = 300
0.0232;0.146;0.2592;0.292;0.1912;0.0884
0.0188;0.1448;0.2592;0.2892;0.1912;0.0968
0.022;0.142;0.2584;0.2936;0.1904;0.0936
0.018;0.1452;0.2636;0.2904;0.1876;0.0952
0.0144;0.1432;0.2588;0.2976;0.1972;0.0888
0.0196;0.1404;0.2632;0.2956;0.192;0.0892
0.0192;0.1376;0.2612;0.296;0.1896;0.0964
0.016;0.134;0.2608;0.3036;0.188;0.0976
0.0216;0.142;0.262;0.2944;0.1928;0.0872
0.0204;0.1368;0.264;0.3;0.1888;0.09
0.0176;0.1388;0.2688;0.2996;0.1876;0.0876
0.016;0.1372;0.2652;0.2968;0.1948;0.09
0.0196;0.1336;0.2684;0.296;0.1924;0.09
0.018;0.1372;0.2652;0.2988;0.1904;0.0904
0.0196;0.1348;0.2636;0.3;0.1916;0.0904
0.018;0.1328;0.2652;0.2992;0.1972;0.0876
0.0192;0.1376;0.2636;0.2956;0.1996;0.0844
0.0172;0.14;0.2604;0.2992;0.194;0.0892
0.0248;0.1416;0.2596;0.2968;0.1888;0.0884
0.0164;0.1344;0.272;0.3012;0.1872;0.0888
0.0176;0.1464;0.26;0.2976;0.1884;0.09
0.02;0.1368;0.2644;0.3016;0.1904;0.0868
0.018;0.14;0.2604;0.2996;0.196;0.086
0.0196;0.1356;0.2668;0.2956;0.1984;0.084
0.0184;0.1356;0.2612;0.3056;0.196;0.0832
0.0204;0.138;0.2628;0.2972;0.1972;0.0844
0.0196;0.1376;0.2616;0.3016;0.1928;0.0868
0.0148;0.1332;0.2648;0.3068;0.1972;0.0832
0.018;0.1368;0.2616;0.3012;0.192;0.0904
0.0196;0.1352;0.2616;0.2972;0.1956;0.0908
0.0152;0.1364;0.2704;0.2984;0.1948;0.0848
0.0204;0.1316;0.2656;0.2996;0.198;0.0848
0.0188;0.128;0.2664;0.306;0.1948;0.086
0.0148;0.136;0.2644;0.2992;0.198;0.0876
0.0168;0.1356;0.2616;0.304;0.1964;0.0856
0.0152;0.1316;0.2632;0.3012;0.1996;0.0892
0.0192;0.1356;0.2596;0.3044;0.1952;0.086
0.0176;0.1316;0.2664;0.3012;0.1948;0.0884
0.0208;0.1364;0.2624;0.304;0.1952;0.0812
0.0216;0.1376;0.26;0.3056;0.1904;0.0848
0.0164;0.1364;0.2688;0.302;0.1932;0.0832
0.0176;0.1316;0.2676;0.3016;0.2;0.0816
0.0188;0.1316;0.27;0.304;0.1916;0.084
0.018;0.1356;0.2676;0.3012;0.1904;0.0872
0.0188;0.1356;0.264;0.3064;0.1936;0.0816
0.0152;0.134;0.2656;0.3084;0.1916;0.0852
0.014;0.1404;0.2668;0.3004;0.1912;0.0872
0.014;0.1372;0.2712;0.3044;0.1924;0.0808
0.0152;0.138;0.2648;0.302;0.1948;0.0852
0.0168;0.1356;0.262;0.3072;0.196;0.0824
0.0168;0.1332;0.2684;0.306;0.1952;0.0804
0.016;0.1384;0.264;0.3088;0.1932;0.0796
0.0176;0.134;0.2672;0.3064;0.1952;0.0796
0.0196;0.1296;0.2644;0.3076;0.1984;0.0804
0.016;0.1312;0.27;0.3056;0.1964;0.0808
0.0148;0.1296;0.2672;0.306;0.2028;0.0796
0.0232;0.128;0.2672;0.3068;0.1956;0.0792
0.018;0.1324;0.268;0.3004;0.1952;0.086
0.0148;0.1336;0.2672;0.3024;0.2004;0.0816
0.016;0.132;0.2684;0.3048;0.1964;0.0824
0.0172;0.1272;0.2732;0.3072;0.1968;0.0784
0.018;0.1316;0.2716;0.3044;0.1908;0.0836
0.0148;0.1312;0.27;0.3004;0.1984;0.0852
0.02;0.1308;0.2676;0.3032;0.194;0.0844
0.0168;0.13;0.2688;0.306;0.1988;0.0796
0.0152;0.1256;0.2712;0.3084;0.1988;0.0808
0.0188;0.1292;0.272;0.3048;0.1932;0.082
0.0156;0.1284;0.2688;0.3072;0.1908;0.0892
0.0176;0.1288;0.27;0.3064;0.1916;0.0856
0.0172;0.134;0.2672;0.3052;0.1908;0.0856
0.0144;0.1292;0.2704;0.308;0.1924;0.0856
0.014;0.13;0.2664;0.3108;0.1924;0.0864
0.0168;0.1276;0.2712;0.3056;0.192;0.0868
0.0192;0.1244;0.2664;0.3104;0.1956;0.084
0.0124;0.1356;0.2688;0.302;0.1956;0.0856
0.0176;0.1308;0.2712;0.3048;0.1924;0.0832
0.0148;0.1288;0.2692;0.3064;0.1964;0.0844
0.0188;0.1284;0.2636;0.3056;0.1972;0.0864
0.0168;0.1268;0.2632;0.312;0.1932;0.088
0.0188;0.1304;0.2628;0.306;0.1928;0.0892
0.0164;0.1324;0.2652;0.312;0.1872;0.0868
0.016;0.1252;0.2672;0.318;0.1912;0.0824
0.0164;0.1256;0.2688;0.3084;0.1916;0.0892
0.0192;0.1248;0.2644;0.3116;0.1936;0.0864
0.0164;0.1272;0.2676;0.3132;0.1896;0.086
0.0164;0.1268;0.2684;0.3172;0.1892;0.082
0.0192;0.124;0.2696;0.3104;0.1896;0.0872
0.018;0.1264;0.2612;0.3152;0.1912;0.088
0.0176;0.1244;0.2688;0.314;0.1896;0.0856
0.016;0.1308;0.2672;0.312;0.1904;0.0836
0.0112;0.1336;0.2636;0.312;0.192;0.0876
0.0176;0.1364;0.2672;0.3092;0.1844;0.0852
0.0184;0.1308;0.2664;0.3108;0.196;0.0776
0.0208;0.1316;0.2604;0.3088;0.1932;0.0852
0.0196;0.132;0.2628;0.3084;0.1908;0.0864
0.0196;0.1336;0.2588;0.3072;0.196;0.0848
0.0176;0.1332;0.2704;0.3088;0.1868;0.0832
0.0176;0.13;0.2644;0.3088;0.1888;0.0904
0.0148;0.1264;0.2648;0.3108;0.1932;0.09
0.0176;0.134;0.2668;0.3044;0.1896;0.0876
0.0176;0.134;0.2652;0.308;0.1892;0.086
