action = 0;action = 90;action = 180;action = 270
0.0196;0.1188;0.744000000000001;0.1176
0.0192;0.12;0.736;0.1248
0.0184;0.1208;0.7428;0.118
0.026;0.1208;0.7364;0.1168
0.0228;0.122;0.7356;0.1196
0.0188;0.1148;0.7468;0.1196
0.0216;0.1172;0.7416;0.1196
0.0184;0.1164;0.744800000000001;0.1204
0.0168;0.116;0.7476;0.1196
0.0232;0.1168;0.744;0.116
0.0244;0.1136;0.740000000000001;0.122
0.0228;0.114;0.7436;0.1196
0.0168;0.1176;0.740400000000001;0.1252
0.0212;0.1148;0.7412;0.1228
0.0248;0.1136;0.744;0.1176
0.0188;0.1176;0.742000000000001;0.1216
0.018;0.1224;0.739200000000001;0.1204
0.0212;0.1172;0.7376;0.124
0.0228;0.1168;0.739200000000001;0.1212
0.0168;0.1192;0.742400000000001;0.1216
0.0204;0.1148;0.743200000000001;0.1216
0.0176;0.1156;0.7448;0.122
0.0176;0.1192;0.7452;0.118
0.0208;0.1188;0.741200000000001;0.1192
0.0216;0.1156;0.7424;0.1204
0.018;0.1188;0.741200000000001;0.122
0.0216;0.1124;0.7456;0.1204
0.02;0.1168;0.744;0.1192
0.0196;0.1184;0.742800000000001;0.1192
0.0216;0.1148;0.742;0.1216
0.018;0.1148;0.7444;0.1228
0.0192;0.1188;0.742400000000001;0.1196
0.016;0.114;0.7496;0.1204
0.018;0.1192;0.7432;0.1196
0.016;0.1188;0.747200000000001;0.118
0.0184;0.1156;0.746;0.12
0.0212;0.1136;0.7432;0.122
0.018;0.1148;0.7496;0.1176
0.02;0.1172;0.744;0.1188
0.0204;0.1164;0.745200000000001;0.118
0.0192;0.1164;0.744400000000001;0.12
0.0192;0.1176;0.746;0.1172
0.0196;0.1164;0.747200000000001;0.1168
0.0184;0.1144;0.756;0.1112
0.0164;0.1152;0.747200000000001;0.1212
0.0176;0.1116;0.755200000000001;0.1156
0.0188;0.1156;0.753200000000001;0.1124
0.016;0.1148;0.751200000000001;0.118
0.018;0.1104;0.7556;0.116
0.02;0.112;0.7536;0.1144
0.0184;0.1136;0.754;0.114
0.0144;0.1136;0.758000000000001;0.114
0.0148;0.1132;0.7572;0.1148
0.0112;0.1152;0.758400000000001;0.1152
0.0168;0.1136;0.756800000000001;0.1128
0.0192;0.1152;0.759200000000001;0.1064
0.016;0.1116;0.7576;0.1148
0.0156;0.1176;0.757200000000001;0.1096
0.0192;0.1096;0.7608;0.1104
0.0152;0.1128;0.7608;0.1112
0.0156;0.1128;0.758;0.1136
0.0132;0.1096;0.7644;0.1128
0.016;0.1084;0.7644;0.1112
0.0152;0.1164;0.760400000000001;0.108
0.018;0.1128;0.76;0.1092
0.0176;0.1068;0.7648;0.1108
0.014;0.1136;0.7596;0.1128
0.0148;0.1116;0.7592;0.1144
0.016;0.1128;0.758800000000001;0.1124
0.0164;0.1068;0.764;0.1128
0.0184;0.1076;0.760400000000001;0.1136
0.0148;0.1056;0.7688;0.1108
0.0156;0.1112;0.759600000000001;0.1136
0.0184;0.1072;0.763200000000001;0.1112
0.0188;0.104;0.7664;0.1108
0.0184;0.1044;0.7644;0.1128
0.0152;0.1056;0.761600000000001;0.1176
0.0172;0.1036;0.764;0.1152
0.0156;0.108;0.762;0.1144
