action = 0;action = 180
-192.8058;77.6366
-223.5294;74.8731
-314.7541;75.4836
-285.8209;78.1488
-213.2911;77.4552
-224.4604;79.9661
-183.3333;73.5220
-250.0000;73.9865
-183.3333;74.4510
-253.5714;79.9576
-204.2553;77.6176
-264.2384;82.2052
-245.2555;69.7419
-225.6000;71.7474
-229.1339;77.7497
-214.2857;76.2288
-266.6667;77.1804
-222.6667;77.5319
-264.1892;82.2279
-226.2069;77.1125
-254.1096;81.3084
-261.6438;80.3738
-164.9635;77.1900
-213.2911;81.6823
-201.3699;78.9720
-269.1275;81.2846
-234.7826;79.9746
-256.5517;78.9809
-218.6207;79.9151
-253.5714;82.7542
-258.8652;77.1513
-181.2030;74.4402
-194.3662;76.6751
-231.6176;79.5262
-235.4610;77.6176
-296.0000;80.8085
-212.0567;74.3535
-263.7795;77.2861
-266.6667;80.4651
-225.9259;77.2093
-209.3750;81.1966
-186.3014;78.5047
-237.2263;77.6555
-250.7246;78.1118
-238.4615;81.6980
-225.3521;79.9406
-294.6565;77.7121
-291.2752;77.5415
-227.0270;76.6156
-207.3529;75.3384
-250.7246;79.0432
-242.2222;80.0000
-204.7297;78.0187
-249.2063;76.8324
-224.0310;74.0194
-244.2748;77.7121
-160.1351;78.9541
-239.5062;84.9444
-214.2857;78.1580
-188.6525;77.1513
-243.2000;78.6947
-282.6087;79.5089
-272.0588;77.6650
-251.3889;78.5229
-218.6207;75.2442
-209.8592;75.7422
-241.0853;72.6276
-171.1268;72.4767
-225.9259;82.1215
-229.1971;78.5865
-169.5364;77.9906
-211.9403;78.6137
-218.8406;79.9746
-207.6923;77.1319
-228.4722;78.0560
-257.9365;73.1255
-271.3376;77.4648
-235.1563;76.8128
-180.5369;83.1561
-197.4843;81.2046
-255.6391;78.6227
-240.4762;79.6125
-238.4615;82.7323
-217.7778;77.2093
-156.6667;78.4681
-154.5455;73.6444
-226.2069;83.1847
-173.2026;81.7213
-209.8592;77.6081
-222.6667;81.2766
-192.8058;75.3071
-272.1805;80.4816
-166.1290;74.5370
-192.8571;79.8380
-199.3197;82.7029
-232.3741;79.0343
-210.6870;76.3191
-250.3704;77.6744
-226.4516;76.0768
-251.3889;75.7216
-158.3333;76.3091
-148.1203;76.2991
-272.5806;79.6296
-235.0993;79.8638
-261.4286;74.8305
-220.2532;80.2733
-237.3333;84.5532
-192.8058;79.9661
-204.7297;80.3571
-189.8649;78.9541
-181.2030;78.1580
-215.3846;78.9987
-235.4610;77.1513
-128.1481;78.6047
-252.6718;78.1764
-271.0843;82.0908
-239.0977;81.4111
-198.6755;79.8638
-230.0000;78.1857
-157.1429;79.8380
-216.5468;77.6366
-192.8571;77.9625
-274.6377;74.8518
-241.0853;75.8752
-219.8582;79.9491
-245.5128;81.2287
-184.8921;75.3071
-240.8451;80.8736
-222.5564;79.5522
-193.8356;78.0374
-241.0853;80.0506
-171.5190;77.4552
-272.3077;82.3629
-211.9403;80.0085
-255.1181;78.2132
-224.8322;82.2203
-191.1765;78.1303
-198.0645;79.8294
-224.8322;79.8809
-171.1268;77.6081
-222.5564;80.0169
-286.8966;83.6518
-180.5369;78.0094
-285.4015;78.1210
-205.5556;75.2547
-230.8271;77.6933
-225.3521;78.0746
-284.6154;79.4654
-261.3139;76.2590
-233.0986;74.8092
-215.3333;78.9362
-219.0840;74.4618
-228.4722;78.9898
-168.2927;74.5477
-214.2857;79.8980
-211.8110;73.1142
-202.1127;78.5411
-238.4615;80.5063
-192.8571;78.9003
-197.0803;78.5865
-231.5068;83.1776
-175.0000;76.2288
-266.6667;80.9544
-220.8333;75.7216
-203.9474;77.5128
-203.4483;73.8429
-172.9323;72.5813
-225.6579;80.7922
-199.3197;79.8980
-223.0769;82.7323
-229.2994;77.9343
-228.3582;77.2189
-255.8824;79.0609
-198.0645;80.2985
-223.0159;77.7591
-206.8027;79.4305
-217.9688;74.0304
-229.3413;82.5547
-231.6176;75.8037
-253.2847;79.5176
-225.3521;76.2087
-225.3521;78.5411
-252.9851;79.0786
-240.8451;80.8736
-171.2329;81.3084
-181.2030;78.1580
-207.6923;81.7989
-223.0769;79.4654
-250.0000;78.1672
-140.8759;78.5865
-187.3134;73.4996
-159.7222;78.9898
-236.5672;79.5435
-238.4615;78.6498
-238.4615;79.1139
-182.8571;75.7627
-175.0000;79.8552
-233.0986;78.0746
-244.6667;80.8085
-231.5068;80.8411
-280.1471;79.9915
-239.0411;78.9720
-282.2695;83.2132
-210.8696;77.1804
-197.0803;75.3280
-204.2553;77.1513
-255.6391;78.6227
-261.4286;80.8898
-167.7632;77.5128
-178.9855;73.4547
-213.1944;76.6553
-225.9259;76.7442
-243.7500;78.0560
-241.3793;79.9151
-241.6667;75.8446
-223.5294;78.1303
-193.8356;77.5701
-228.4722;80.3905
-240.2878;78.5684
-221.1679;79.5176
-222.5564;79.0875
-244.2177;80.3655
-206.8027;76.6256
-192.3077;78.0653
-210.0671;78.9451
-215.3846;77.5986
-215.3846;73.3984
-230.0000;79.9576
-238.4615;79.4654
-157.1429;77.9625
-286.2595;80.4981
-250.7246;77.6461
-275.3968;77.2957
-190.7143;75.7627
-193.8931;74.4618
-237.2263;76.7245
-171.1268;73.4097
-202.1127;79.4741
-248.2014;79.0343
-277.8626;78.6408
-213.2450;77.0541
-225.6579;79.8552
-185.4430;81.2126
-245.2555;82.3106
-152.0833;78.0560
-269.6000;76.3789
-232.8947;77.5128
-271.4286;79.3691
-196.1538;76.7932
-229.3413;78.3112
-272.0588;79.0609
-256.1151;79.9661
-215.3846;78.9987
-224.4604;82.2956
-231.6176;76.2690
-211.1842;79.8552
-277.8626;78.6408
-200.0000;75.6181
-223.1250;80.7265
-294.6565;80.0338
-285.4015;77.6555
-237.7953;75.8955
-236.8750;84.0171
-244.2177;82.2354
-122.9730;74.7449
-208.6331;78.1025
-231.6176;77.1997
-240.8451;78.5411
-227.2727;71.3325
-196.4539;74.3535
-235.7143;76.5558
-271.9424;76.7048
-261.8421;84.5400
-203.7313;78.6137
-215.3333;83.6170
-232.2148;78.0094
-266.6667;80.4899
-220.5298;78.9272
-188.2759;73.3758
-209.8592;77.6081
-213.0769;78.1857
-186.0000;76.5957
-221.1679;77.1900
-190.2778;79.9236
-261.1940;80.4734
-205.9603;81.7369
-212.1622;81.2925
-198.5714;79.0254
-190.7143;78.5593
-238.4615;80.3988
-215.3333;80.3404
-229.2994;81.2207
-188.7500;80.7265
-187.9195;81.2846
-189.9225;78.6588
-213.2450;79.8638
-233.7931;78.9809
-223.0769;77.1319
-215.3333;77.5319
-249.3243;81.2925
-227.8146;78.9272
-196.1538;75.4008
-194.9275;77.1804
-209.6296;73.4884
-230.0000;78.5593
-205.1613;80.2985
-195.1220;82.1062
-126.2411;76.6850
-166.1290;75.9259
-146.1538;79.4654
-206.4286;78.0932
-246.1538;80.8655
-216.4384;79.4393
-261.4286;79.9576
-259.0278;78.5229
-218.2390;81.6745
-209.8592;81.3401
-243.7500;83.6587
-202.8986;75.7832
-164.6617;74.9049
-256.5517;81.3163
-193.3333;75.0420
-216.5468;79.5002
-165.2482;78.0839
-187.3134;75.8242
-206.8027;78.9630
-271.9424;79.9661
-200.7194;79.0343
-205.9603;75.6492
-207.6923;79.4654
-287.3239;75.7422
-252.9851;78.1488
-297.6923;81.4346
-182.2368;79.3867
-233.5484;83.1130
-251.7007;78.4955
-255.1181;75.8955
